name	fraction	color
Пашковський Максим Ігорович	1.0	green
Драбовський Анатолій Григорович	1.0	green
Юрчишин Петро Васильович	6.0	black
Борзова Ірина Наумівна	1.0	green
Білозір Лариса Миколаївна	6.0	black
Вацак Геннадій Анатолійович	6.0	black
Кучер Микола Іванович	6.0	black
Мейдич Олег Леонідович	3.0	pink
Гузь Ігор Володимирович	6.0	black
Рубльов Вячеслав Володимирович	1.0	green
Івахів Степан Петрович	6.0	black
Палиця Ігор Петрович	6.0	black
Констанкевич Ірина Мирославівна	6.0	black
Кисилевський Дмитро Давидович	1.0	green
Бужанський Максим Аркадійович	1.0	green
Нестеренко Кирилл Олександрович	1.0	green
Медяник В'ячеслав Анатолійович	1.0	green
Мисягін Юрій Михайлович	1.0	green
Демченко Сергій Олексійович	1.0	green
Лічман Ганна Василівна	1.0	green
Захарченко Володимир Васильович	1.0	green
Криворучкіна Олена Володимирівна	1.0	green
Корявченков Юрій Валерійович	1.0	green
Чорний Дмитро Сергійович	1.0	green
Герман Денис Вадимович	1.0	green
Каптєлов Роман Володимирович	1.0	green
Шпенов Дмитро Юрійович	0.0	grey
Бородін Владислав Валерійович	1.0	green
Северин Сергій Сергійович	1.0	green
Трухін Олександр Миколайович	1.0	green
Магомедов Муса Сергоєвич	0.0	grey
Христенко Федір Володимирович	2.0	blue
Солод Юрій Васильович	2.0	blue
Єфімов Максим Вікторович	0.0	grey
Гнатенко Валерій Сергійович	2.0	blue
Требушкін Руслан Валерійович	0.0	grey
Ковальов Олександр Іванович	0.0	grey
Яковенко Євген Геннадійович	0.0	grey
Новинський Вадим Владиславович	0.0	grey
Магера Сергій Васильович	0.0	grey
Мороз Володимир Вікторович	2.0	blue
Лубінець Дмитро Валерійович	6.0	black
Герасименко Ігор Леонідович	1.0	green
Кицак Богдан Вікторович	1.0	green
Арешонков Володимир Юрійович	0.0	grey
Костюк Дмитро Сергійович	1.0	green
Грищенко Тетяна Миколаївна	1.0	green
Кузьміних Сергій Володимирович	1.0	green
Горват Роберт Іванович	0.0	grey
Балога Віктор Іванович	6.0	black
Лаба Михайло Михайлович	1.0	green
Лунченко Валерій Валерійович	0.0	grey
Петьовка Василь Васильович	0.0	grey
Поляк Владіслав Миколайович	6.0	black
Касай Геннадій Олександрович	1.0	green
Соха Роман Васильович	1.0	green
Шевченко Євгеній Володимирович	1.0	green
Штепа Сергій Сергійович	1.0	green
Пономарьов Олександр Сергійович	2.0	blue
Яцик Юлія Григорівна	1.0	green
Мінько Сергій Анатолійович	6.0	black
Мельник Павло Вікторович	1.0	green
Нікітіна Марина Вікторівна	1.0	green
Савчук Оксана Василівна	0.0	grey
Фріс Ігор Павлович	1.0	green
Прощук Едуард Петрович	1.0	green
Матусевич Олександр Борисович	1.0	green
Андрійович Зіновій Мирославович	1.0	green
Іванчук Андрій Володимирович	0.0	grey
Тимофійчук Володимир Ярославович	1.0	green
Бабенко Микола Вікторович	0.0	grey
Дунда Олег Андрійович	1.0	green
Колюх Валерій Вікторович	1.0	green
Скороход Анна Костянтинівна	1.0	green
Дубінський Олександр Анатолійович	1.0	green
Горобець Олександр Сергійович	1.0	green
Василевська-Смаглюк Ольга Михайлівна	1.0	green
Галушко Микола Леонідович	1.0	green
Бунін Сергій Валерійович	1.0	green
Дануца Олександр Анатолійович	1.0	green
Мурдій Ігор Юрійович	1.0	green
Кузбит Юрій Михайлович	1.0	green
Довгий Олесь Станіславович	0.0	grey
Воронько Олег Євгенійович	1.0	green
Гриб Вікторія Олександрівна	0.0	grey
Кузнєцов Олексій Олександрович	1.0	green
Сухов Олександр Сергійович	0.0	grey
Вельможний Сергій Анатолійович	0.0	grey
Лукашев Олександр Анатолійович	2.0	blue
Шахов Сергій Володимирович	0.0	grey
Піпа Наталія Романівна	5.0	yellow
Княжицький Микола Леонідович	4.0	red
Рущишин Ярослав Іванович	5.0	yellow
Васильченко Галина Іванівна	5.0	yellow
Бондар Михайло Леонтійович	4.0	red
Дубневич Ярослав Васильович	6.0	black
Саламаха Орест Ігорович	1.0	green
Бакунець Павло Андрійович	0.0	grey
Батенко Тарас Іванович	6.0	black
Камельчук Юрій Олександрович	1.0	green
Лопушанський Андрій Ярославович	4.0	red
Кіт Андрій Богданович	0.0	grey
Пасічний Олександр Станіславович	1.0	green
Гайду Олександр Васильович	1.0	green
Копитін Ігор Володимирович	1.0	green
Негулевський Ігор Петрович	1.0	green
Чорноморов Артем Олегович	1.0	green
Дирдін Максим Євгенович	1.0	green
Дмитрук Артем Геннадійович	1.0	green
Колєв Олег Вікторович	1.0	green
Леонов Олексій Олександрович	1.0	green
Горенюк Олександр Олександрович	1.0	green
Гончаренко Олексій Олексійович	4.0	red
Чернявський Степан Миколайович	1.0	green
Васильковський Ігор Ігорович	1.0	green
Колебошин Сергій Валерійович	1.0	green
Ткаченко Олександр Михайлович	1.0	green
Кіссе Антон Іванович	6.0	black
Урбанський Анатолій Ігорович	6.0	black
Нальотов Дмитро Олександрович	1.0	green
Боблях Андрій Ростиславович	1.0	green
Шаповалов Юрій Анатолійович	6.0	black
Кулініч Олег Іванович	0.0	grey
Ляшенко Анастасія Олексіївна	1.0	green
Касай Костянтин Іванович	1.0	green
Мовчан Олексій Васильович	1.0	green
Березін Максим Юрійович	1.0	green
Ковальчук Олександр Володимирович	1.0	green
Іванісов Роман Валерійович	1.0	green
Аліксійчук Олександр Васильович	1.0	green
М'ялик Віктор Ничипорович	6.0	black
Литвиненко Сергій Анатолійович	1.0	green
Рябуха Тетяна Василівна	1.0	green
Васильєв Ігор Сергійович	1.0	green
Деркач Андрій Леонідович	0.0	grey
Молоток Ігор Федорович	0.0	grey
Гузенко Максим Васильович	1.0	green
Задорожній Микола Миколайович	1.0	green
Богданець Андрій Володимирович	1.0	green
Василів Ігор Володимирович	1.0	green
Чайківський Іван Адамович	6.0	black
Люшняк Микола Володимирович	0.0	grey
Гевко Володимир Леонідович	1.0	green
Мезенцева Марія Сергіївна	1.0	green
Куницький Олександр Олегович	1.0	green
Одарченко Андрій Миколайович	1.0	green
Кінзбурська Вікторія Олександрівна	1.0	green
Здебський Юрій Вікторович	1.0	green
Бакумов Олександр Сергійович	1.0	green
Фельдман Олександр Борисович	2.0	blue
Пивоваров Євген Павлович	1.0	green
Шенцев Дмитро Олексійович	0.0	grey
Любота Дмитро Валерійович	1.0	green
Літвінов Олександр Миколайович	1.0	green
Кучер Олексій Володимирович	1.0	green
Красов Олексій Ігорович	1.0	green
Микиша Дмитро Сергійович	1.0	green
Павліш Павло Васильович	1.0	green
Вагнєр Вікторія Олександрівна	1.0	green
Колихаєв Ігор Вікторович	6.0	black
Іванов Володимир Ілліч	1.0	green
Ковальов Олексій Іванович	1.0	green
Стефанчук Микола Олексійович	1.0	green
Лабазюк Сергій Петрович	0.0	grey
Копанчук Олена Євгенівна	1.0	green
Жмеренецький Олексій Сергійович	1.0	green
Бондар Віктор Васильович	6.0	black
Герега Олександр Володимирович	6.0	black
Марчук Ігор Петрович	1.0	green
Шпак Любов Олександрівна	1.0	green
Арсенюк Олег Олексійович	1.0	green
Стріхарський Андрій Петрович	1.0	green
Скічко Олександр Олександрович	1.0	green
Нагорняк Сергій Володимирович	1.0	green
Яценко Антон Володимирович	6.0	black
Лис Олена Георгіївна	1.0	green
Заремський Максим Валентинович	1.0	green
Мазурашу Георгій Георгійович	1.0	green
Божик Валерій Іванович	1.0	green
Семінський Олег Валерійович	1.0	green
Поляков Антон Едуардович	1.0	green
Зуєв Максим Сергійович	1.0	green
Давиденко Валерій Миколайович	0.0	grey
Зуб Валерій Олексійович	1.0	green
Приходько Борис Вікторович	0.0	grey
Юрченко Олександр Миколайович	1.0	green
Перебийніс Максим Вікторович	1.0	green
Дубнов Артем Васильович	1.0	green
Швець Сергій Федорович	1.0	green
Яременко Богдан Васильович	1.0	green
Забуранна Леся Валентинівна	1.0	green
Безугла Мар'яна Володимирівна	1.0	green
Гурін Дмитро Олександрович	1.0	green
Тищенко Микола Миколайович	1.0	green
Бондар Ганна Вячеславівна	1.0	green
Пуртова Анна Анатоліївна	1.0	green
Грищук Роман Павлович	1.0	green
Буймістер Людмила Анатоліївна	1.0	green
Разумков Дмитро Олександрович	0.0	grey
Стефанчук Руслан Олексійович	0.0	grey
Венедіктова Ірина Валентинівна	1.0	green
Арахамія Давид Георгійович	1.0	green
Янченко Галина Ігорівна	1.0	green
Корнієнко Олександр Сергійович	1.0	green
Красносільська Анастасія Олегівна	1.0	green
Ткаченко Олександр Владиславович	1.0	green
Беленюк Жан Венсанович	1.0	green
Бабак Сергій Віталійович	1.0	green
Шуляк Олена Олексіївна	1.0	green
Наталуха Дмитро Андрійович	1.0	green
Ясько Єлизавета Олексіївна	1.0	green
Герус Андрій Михайлович	1.0	green
Радуцький Михайло Борисович	1.0	green
Монастирський Денис Анатолійович	1.0	green
Гетманцев Данило Олександрович	1.0	green
Холодов Андрій Іванович	1.0	green
Лерос Гео Багратович	1.0	green
Кальченко Сергій Віталійович	1.0	green
Ткаченко Максим Миколайович	1.0	green
Чернєв Єгор Володимирович	1.0	green
Юраш Святослав Андрійович	1.0	green
Сушко Павло Миколайович	1.0	green
Верещук Ірина Андріївна	1.0	green
Кубраков Олександр Миколайович	1.0	green
Діденко Юлія Олександрівна	1.0	green
Соломчук Дмитро Вікторович	1.0	green
Ананченко Михайло Олегович	1.0	green
Неклюдов Владлен Михайлович	1.0	green
Кривошеєв Ігор Сергійович	1.0	green
Іонушас Сергій Костянтинович	1.0	green
Завітневич Олександр Михайлович	1.0	green
Струневич Вадим Олегович	1.0	green
Воронов Володимир Анатолійович	1.0	green
Арістов Юрій Юрійович	1.0	green
Кісєль Юрій Григорович	1.0	green
Галайчук Вадим Сергійович	1.0	green
Ковальов Артем Володимирович	1.0	green
Стернійчук Валерій Олександрович	1.0	green
Михайлюк Галина Олегівна	1.0	green
Бабій Роман Вячеславович	1.0	green
Качура Олександр Анатолійович	1.0	green
Культенко Артем Валерійович	1.0	green
Марусяк Олег Романович	1.0	green
Кириченко Микола Олександрович	1.0	green
Третьякова Галина Миколаївна	1.0	green
Халімон Павло Віталійович	1.0	green
Мошенець Олена Володимирівна	1.0	green
Саладуха Ольга Валеріївна	1.0	green
Коваль Ольга Володимирівна	1.0	green
Загоруйко Аліна Леонідівна	1.0	green
Бондаренко Олег Володимирович	1.0	green
Крячко Михайло Валерійович	1.0	green
Бардіна Марина Олегівна	1.0	green
Марченко Людмила Іванівна	1.0	green
Юнаков Іван Сергійович	1.0	green
Володіна Дар'я Артемівна	1.0	green
Савченко Ольга Станіславівна	1.0	green
Гринчук Оксана Анатоліївна	1.0	green
Козак Володимир Васильович	1.0	green
Хоменко Олена Вікторівна	1.0	green
Сова Олександр Георгійович	1.0	green
Ватрас Володимир Антонович	1.0	green
Мулик Роман Миронович	1.0	green
Тарасов Олег Сергійович	1.0	green
Костюх Анатолій Вячеславович	1.0	green
Брагар Євгеній Вадимович	1.0	green
Безгін Віталій Юрійович	1.0	green
Салійчук Олександр В'ячеславович	1.0	green
Рєпіна Елла Анатоліївна	1.0	green
Пушкаренко Арсеній Михайлович	1.0	green
Заблоцький Мар'ян Богданович	1.0	green
Клочко Андрій Андрійович	1.0	green
Овчинникова Юлія Юріївна	1.0	green
Мережко Олександр Олександрович	1.0	green
Устенко Олексій Олегович	1.0	green
Кабанов Олександр Євгенійович	1.0	green
Веніславський Федір Володимирович	1.0	green
Булах Лада Валентинівна	1.0	green
Петруняк Євген Васильович	1.0	green
Маріковський Олександр Валерійович	1.0	green
Федієнко Олександр Павлович	1.0	green
Мотовиловець Андрій Вікторович	1.0	green
Колісник Анна Сергіївна	1.0	green
Богуцька Єлізавета Петрівна	1.0	green
Нагаєвський Артем Сергійович	1.0	green
Потураєв Микита Русланович	1.0	green
Якименко Павло Віталійович	1.0	green
Кунаєв Артем Юрійович	1.0	green
Припутень Дмитро Сергійович	1.0	green
Павлюк Максим Васильович	1.0	green
Мокан Василь Іванович	1.0	green
Підласа Роксолана Андріївна	1.0	green
Торохтій Богдан Григорович	1.0	green
Дмитрієва Оксана Олександрівна	1.0	green
Шол Маргарита Віталіївна	1.0	green
Костін Андрій Євгенович	1.0	green
Горбенко Руслан Олександрович	1.0	green
Жупанин Андрій Вікторович	1.0	green
Тістик Ростислав Ярославович	1.0	green
Кравчук Євгенія Михайлівна	1.0	green
Яковлєва Неллі Іллівна	1.0	green
Гривко Сергій Дмитрович	1.0	green
Павловський Петро Іванович	1.0	green
Аллахвердієва Ірина Валеріївна	1.0	green
Вінтоняк Олена Василівна	1.0	green
Заславський Юрій Іванович	1.0	green
Задорожний Андрій Вікторович	1.0	green
Шипайло Остап Ігорович	1.0	green
Шинкаренко Іван Анатолійович	1.0	green
Совгиря Ольга Володимирівна	1.0	green
Крейденко Володимир Вікторович	1.0	green
Тарасенко Тарас Петрович	1.0	green
Сольський Микола Тарасович	1.0	green
Фролов Павло Валерійович	1.0	green
Новіков Михайло Миколайович	1.0	green
Подгорна Вікторія Валентинівна	1.0	green
Бойко Юрій Анатолійович	2.0	blue
Рабінович Вадим Зіновійович	2.0	blue
Медведчук Віктор Володимирович	2.0	blue
Королевська Наталія Юріївна	2.0	blue
